CLAVE,MATERIA,# GPOs
TC1030,Programación Orientado a Objetos,1
TC2005B,Construcción de software y toma de decisiones,1
TC2006B,Interconexión de Dispositivos,1
TC2037,Implement. de Métodos Computacionales,1
TC1002B,Herram. Tecnológicas Ciencias Sociales,1
TC3004B,Planeación de sistemas de software,1
TC3005B,Desarrollo e implantación de sistemas de software,1
TI3005B,Trasformación digital de organizaciones de la sociedad civil,1
TC3002B,Desarrollo de aplicaciones avanzadas de ciencias computacionales,1
TC3003B,Implementación de redes de área amplia y servicios distribuidos,1
